Timestamp,Frame Time (s),FPS,Latency (s),CPU Utilization (%),GPU Utilization (%)
1700867265.427694,0.0,5.879353553066312e-10,0.02589726448059082,18.0,0
1700867265.5955808,0.0,5.214253746929358,0.011734962463378906,68.0,0
1700867265.673064,0.0,15.675949215698733,0.011549949645996094,64.6,0
1700867265.7264,0.0,14.488747335804371,0.010719060897827148,76.1,0
1700867265.7960908,0.0,14.96357130370566,0.010833024978637695,48.4,0
1700867265.8601768,0.0,15.048882000057407,0.010878801345825195,52.2,0
1700867266.0680041,0.0,5.100902748134122,0.013139963150024414,71.4,0
1700867266.125893,0.0,14.840264656972012,0.010950088500976562,53.3,0
1700867266.1914089,0.0,15.380821937901773,0.012527704238891602,46.2,0
1700867266.2594402,0.0,14.561128700772093,0.011386871337890625,0.0,0
1700867266.329746,0.0,15.391715350967326,0.011631011962890625,0.0,0
1700867266.3872058,0.0,15.851908402716624,0.011697053909301758,0.0,0
1700867266.456432,0.0,14.303704916243793,0.01069021224975586,47.5,0
1700867266.5241148,0.0,14.617049897890196,0.010891914367675781,23.1,0
1700867266.587216,0.0,15.277013294481879,0.011933088302612305,23.5,0
1700867266.652389,0.0,15.169657098009715,0.011343002319335938,18.5,0
1700867266.688352,0.0,27.394951177296626,0.010869741439819336,28.9,0
1700867266.7570848,0.0,14.713035913482113,0.011993169784545898,14.9,0
1700867266.8205938,0.0,15.881559566677648,0.012135028839111328,22.2,0
1700867266.888482,0.0,14.772421177199854,0.011751890182495117,0.0,0
1700867266.953814,0.0,14.925127124826082,0.010779142379760742,0.0,0
1700867267.022202,0.0,14.744223488510253,0.011341094970703125,0.0,0
1700867267.085417,0.0,15.820040282733492,0.011188983917236328,0.0,0
1700867267.151476,0.0,15.251792701197074,0.011796951293945312,0.0,0
1700867267.185278,0.0,29.004245902772976,0.011120796203613281,0.0,0
1700867267.244852,0.0,16.90815273477812,0.011593103408813477,0.0,0
1700867267.2825768,0.0,27.42594094107185,0.012434959411621094,0.0,0
1700867267.345313,0.0,15.623978871534309,0.011225700378417969,0.0,0
1700867267.4162078,0.0,14.85045815689218,0.012244939804077148,0.0,0
1700867267.480097,0.0,14.991382545633906,0.012153148651123047,22.5,0
1700867267.54478,0.0,15.437773058364098,0.011970996856689453,21.3,0
1700867267.6084092,0.0,15.644608894475548,0.011751174926757812,27.1,0
1700867267.6706612,0.0,16.406879906744955,0.012623071670532227,17.9,0
1700867267.736359,0.0,14.813063086925965,0.011328935623168945,21.4,0
1700867267.7983959,0.0,15.911442586010022,0.010950088500976562,15.5,0
1700867267.8620648,0.0,15.7593510353301,0.010410070419311523,20.3,0
1700867267.924365,0.0,16.104684380279526,0.011053800582885742,18.8,0
1700867267.9887,0.0,15.481535343990728,0.010915040969848633,0.0,0
1700867268.0548632,0.0,15.379637574344194,0.011373043060302734,0.0,0
1700867268.091908,0.0,26.459147110774666,0.010805130004882812,0.0,0
1700867268.158806,0.0,15.44522020916188,0.013069868087768555,0.0,0
1700867268.2228749,0.0,15.256452786265095,0.01127314567565918,0.0,0
1700867268.257536,0.0,28.67312004375171,0.011559009552001953,0.0,0
1700867268.323601,0.0,15.219085977612076,0.012125015258789062,0.0,0
1700867268.389498,0.0,15.103669054126561,0.011602163314819336,0.0,0
1700867268.427021,0.0,26.617826431857846,0.011337995529174805,0.0,0
1700867268.4929159,0.0,15.371126804437294,0.012130022048950195,20.7,0
1700867268.557162,0.0,15.51033207602988,0.012167215347290039,18.8,0
1700867268.593513,0.0,27.07766996559048,0.011746883392333984,27.0,0
1700867268.659929,0.0,15.13402418959097,0.011714696884155273,0.0,0
1700867268.7274828,0.0,14.812853828142382,0.012144804000854492,0.0,0
1700867268.7921169,0.0,15.771854882377715,0.013296842575073242,0.0,0
1700867268.856147,0.0,15.490226058182007,0.01244497299194336,0.0,0
1700867268.897872,0.0,23.724244035431067,0.012218236923217773,0.0,0
1700867268.963188,0.0,15.272285032861799,0.012057065963745117,0.0,0
1700867269.0274282,0.0,15.755503132841495,0.012754201889038086,0.0,0
1700867269.091677,0.0,15.472683139170275,0.012355804443359375,0.0,0
1700867269.1592891,0.0,14.693140895396903,0.011785268783569336,0.0,0
1700867269.2242079,0.0,15.367803962949935,0.01183629035949707,0.0,0
1700867269.260952,0.0,27.984600911401863,0.012240171432495117,0.0,0
1700867269.325537,0.0,15.302708244402366,0.012285947799682617,0.0,0
1700867269.3903291,0.0,15.307343634810916,0.011827945709228516,0.0,0
1700867269.427433,0.0,27.28748015718115,0.01207113265991211,0.0,0
1700867269.491817,0.0,15.558084498683186,0.011989116668701172,0.0,0
1700867269.528979,0.0,27.030031191194286,0.012223958969116211,21.2,0
1700867269.594487,0.0,15.248576684529306,0.012240171432495117,24.2,0
